City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,isangel,-19.55,169.2667,72.86,61,2,14.63,VU,1627449631
252,skaudvile,55.4167,22.6167,65.91,88,38,5.23,LT,1627449632
253,rupert,42.6191,-113.6772,78.24,56,90,18.41,US,1627449454
254,tungor,53.3808,142.9564,73.13,84,100,1.79,RU,1627449632
255,wasilla,61.5814,-149.4394,62.53,73,90,4.61,US,1627449633
256,champerico,14.3,-91.9167,82.04,78,26,1.95,GT,1627449633
257,mirnyy,62.5353,113.9611,86.22,33,5,8.05,RU,1627449633
258,knysna,-34.0363,23.0471,52.18,86,100,6.44,ZA,1627449634
259,ust-nera,64.5667,143.2,52.32,73,99,10.16,RU,1627449634
260,belle glade,26.6845,-80.6676,78.82,81,21,3.96,US,1627449526
261,yumen,40.2833,97.2,89.58,12,0,8.79,CN,1627449635
262,noumea,-22.2763,166.4572,75.99,98,9,14.5,NC,1627449635
263,bagdarin,54.4333,113.6,67.71,75,91,5.48,RU,1627449635
264,jiwani,25.05,61.7417,83.34,83,99,7.45,PK,1627449636
265,vardo,70.3705,31.1107,48.4,84,90,13.76,NO,1627449636
266,lavrentiya,65.5833,-171.0,43.97,99,100,10.38,RU,1627449637
267,jacareacanga,-6.2222,-57.7528,74.48,50,20,0.74,BR,1627449637
268,altus,34.6381,-99.334,83.71,69,1,5.75,US,1627449637
269,alta gracia,-31.6529,-64.4283,42.89,38,83,5.1,AR,1627449638
270,huanren,41.2647,125.3667,94.78,42,98,3.94,CN,1627449638
271,innisfail,-17.5333,146.0333,75.36,61,49,6.71,AU,1627449639
272,afua,-0.1567,-50.3867,74.52,94,20,4.61,BR,1627449639
273,chlorakas,34.8042,32.4083,92.43,35,0,12.66,CY,1627449639
274,sorland,67.667,12.6934,57.27,88,9,11.03,NO,1627449640
275,natchez,31.5604,-91.4032,78.24,91,40,0.0,US,1627449640
276,uglovskoye,51.3557,80.1942,70.68,34,11,9.35,RU,1627449641
277,mahanje,-9.9333,35.3333,54.59,63,5,2.28,TZ,1627449641
278,safaga,26.7292,33.9365,89.6,38,93,14.7,EG,1627449642
279,krasnoselkup,65.7,82.4667,55.81,63,97,3.29,RU,1627449642
280,barcelos,41.5388,-8.6151,61.84,90,0,4.76,PT,1627449642
281,guamuchil,25.4667,-108.1,87.75,87,43,4.63,MX,1627449643
282,hailar,49.2,119.7,77.56,49,47,11.41,CN,1627449643
283,moose factory,51.2585,-80.6094,57.18,67,1,6.91,CA,1627449644
284,giyani,-23.3025,30.7187,51.87,59,0,2.44,ZA,1627449555
285,broken hill,-31.95,141.4333,62.51,33,0,25.32,AU,1627449644
286,yerbogachen,61.2767,108.0108,88.02,30,2,10.96,RU,1627449645
287,malkara,40.89,26.9011,74.8,50,0,6.8,TR,1627449645
288,neiafu,-18.65,-173.9833,70.48,94,90,2.3,TO,1627449645
289,saint-pierre,-21.3393,55.4781,67.68,89,90,23.02,RE,1627449646
290,bambanglipuro,-7.95,110.2833,82.11,65,56,14.41,ID,1627449646
291,fiche,9.8,38.7333,52.83,87,100,1.7,ET,1627449647
292,brae,60.3964,-1.353,55.31,94,74,7.56,GB,1627449647
293,cabra,37.4725,-4.4421,72.9,57,0,2.57,ES,1627449647
294,dickinson,29.4608,-95.0513,81.19,79,40,4.61,US,1627449648
295,tuban,-6.8976,112.0649,87.69,51,11,4.52,ID,1627449648
